the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
POINT (-87.58070499899998 41.73691800099999),9431,87TH STREET,CREGIER,EB,NS,87,,CHICAGO,87th Street & Cregier
POINT (-87.73177600000002 41.92436700100001),1313,FULLERTON,KEELER,EB,NS,74,,CHICAGO,Fullerton & Keeler
POINT (-87.575502997 41.736991621000016),14557,87TH STREET,JEFFERY,EB,FS,87,,CHICAGO,87th Street & Jeffery
POINT (-87.64284800000001 41.88310999999999),442,WASHINGTON,JEFFERSON,EB,NS,"J14,19,20,56",N20,CHICAGO,Washington & Jefferson
POINT (-87.74326071299998 41.931517326999995),15228,DIVERSEY,4700 WEST,EB,MB,76,,CHICAGO,4700 W Diversey
POINT (-87.65481154100002 41.786814607999986),12984,59TH STREET,RACINE,EB,NS,59,,CHICAGO,59th Street & Racine
POINT (-87.67075232000002 41.93230932300003),11021,DIVERSEY,PAULINA,EB,FS,76,,CHICAGO,Diversey & Paulina
POINT (-87.70664437800002 41.910015326999996),17125,NORTH AVENUE,KEDZIE,EB,FS,72,,CHICAGO,North Ave & Kedzie
POINT (-87.755558474 41.90218806799999),17186,DIVISION,LARAMIE,EB,FS,70,,CHICAGO,Division & Laramie
POINT (-87.65651505099999 41.86710532699999),336,ROOSEVELT,RACINE,WB,NS,12,,CHICAGO,Roosevelt & Racine
POINT (-87.7026459 41.764465460999986),4301,71ST STREET,KEDZIE,WB,NS,67,,CHICAGO,71st Street & Kedzie
POINT (-87.731215786 41.90814821700002),814,GRAND,KEELER,WB,NS,65,,CHICAGO,Grand & Keeler
POINT (-87.668378512 41.69135562700001),12361,MONTEREY,ESMOND,WB,NS,112,,CHICAGO,Monterey & Esmond
POINT (-87.68662143300003 41.877610457),15860,JACKSON,WESTERN,WB,FS,126,,CHICAGO,Jackson & Western
POINT (-87.62681800000001 41.838467001000026),2395,STATE,31ST STREET,SB,NS,29,,CHICAGO,State & 31st Street
POINT (-87.630354012 41.867169123),6288,CLARK,ROOSEVELT,NB,NS,24,,CHICAGO,Clark & Roosevelt
POINT (-87.65480200000002 41.96185800000001),1051,SHERIDAN,MONTROSE,SB,NS,151,,CHICAGO,Sheridan & Montrose
POINT (-87.702804415 41.760817797000016),10017,KEDZIE,73RD STREET,SB,NS,52A,,CHICAGO,Kedzie & 73rd Street
POINT (-87.64765892399998 41.95280766000002),1060,SHERIDAN 3900N,PINE GROVE,EB,FS,151,,CHICAGO,Sheridan & Pine Grove
POINT (-87.678832 41.959540000000004),8954,DAMEN,CULLOM,NB,NS,50,,CHICAGO,Damen & Cullom
POINT (-87.64340000099997 41.73243200100001),3668,HALSTED,89TH STREET,NB,NS,8A,,CHICAGO,Halsted & 89th Street
POINT (-87.65483200099999 41.79762700100002),5077,RACINE,53RD STREET,NB,NS,44,,CHICAGO,Racine & 53rd Street
POINT (-87.59239584099998 41.72215689699999),11933,95TH STREET,1300 EAST (KIMBARK),EB,MB,"N5,95,100",N5,CHICAGO,1300 E 95th Street
POINT (-87.617908 41.736410001000024),9413,87TH STREET,PRAIRIE,EB,NS,87,,CHICAGO,87th Street & Prairie
POINT (-87.68144899999999 41.87391100100001),190,HARRISON,LEAVITT,EB,NS,7,,CHICAGO,Harrison & Leavitt
POINT (-87.788667266 41.85051716999999),6976,CERMAK,EAST,EB,NS,"21,322",,BERWYN,Cermak & East
POINT (-87.69097126700001 41.953906330999985),5655,IRVING PARK,CAMPBELL,EB,NS,80,,CHICAGO,Irving Park & Campbell
POINT (-87.63714299899999 41.89806399999998),6715,ORLEANS,CHESTNUT,NB,NS,37,,CHICAGO,Orleans & Chestnut
POINT (-87.64925000099998 41.94171800100003),5967,HALSTED,ALDINE,NB,NS,8,,CHICAGO,Halsted & Aldine
POINT (-87.64599099999998 41.828798000000006),5904,HALSTED,36TH STREET (north leg),NB,NS,8,,CHICAGO,Halsted & 36th Street
POINT (-87.64519818100001 41.79967503400002),5894,HALSTED,52ND STREET,NB,NS,8,,CHICAGO,Halsted & 52nd Street
POINT (-87.62170699900003 41.83297500100002),1560,INDIANA,34TH STREET,NB,MT,"1,4",N4,CHICAGO,Indiana & 34th Street
POINT (-87.771313448 41.777948219999985),3295,63RD STREET,AUSTIN,WB,NS,63W,,CHICAGO,63rd Street & Austin
POINT (-87.662387395 42.00922140199998),12060,LUNT,SHERIDAN,WB,FS,96,,CHICAGO,Lunt & Sheridan
POINT (-87.68413186599997 41.93228153000001),11057,DIVERSEY,LOGAN,WB,FT,76,,CHICAGO,Diversey & Logan
POINT (-87.67727000000002 41.83042500099998),7658,35TH STREET,ARCHER/HOYNE,WB,NS,35,,CHICAGO,35th Street & Archer
POINT (-87.72903886900002 41.99025220200002),15208,PETERSON,PULASKI,WB,FS,84,,CHICAGO,Peterson & Pulaski
POINT (-87.72579473100001 41.87713666399998),131,JACKSON,PULASKI,WB,FS,126,,CHICAGO,Jackson & Pulaski
POINT (-87.694468185 41.99056613900001),11488,PETERSON,ROCKWELL,WB,NS,84,,CHICAGO,Peterson & Rockwell
POINT (-87.64877594900003 41.75063759300002),2655,79TH STREET,MORGAN,WB,NS,79,N79,CHICAGO,79th Street & Morgan
POINT (-87.64928959500003 41.93277852699998),11042,DIVERSEY,HALSTED,WB,FS,76,,CHICAGO,Diversey & Halsted
POINT (-87.56008810200001 41.71364313999999),5269,100TH STREET,TORRENCE,WB,FS,"J14,100",,CHICAGO,100th Street & Torrence
POINT (-87.62008692799998 41.769284958000014),7412,69TH STREET,INDIANA,WB,NS,"N5,30,67",N5,CHICAGO,69th Street & Indiana
POINT (-87.80105911700002 41.78475322000003),7811,HARLEM,59TH STREET,NB,FS,62H,,CHICAGO,Harlem & 59th Street
POINT (-87.70195313900001 41.73708929899999),9991,KEDZIE,8600 SOUTH,NB,MB,52A,,CHICAGO,8600 S Kedzie
POINT (-87.539869952 41.64839477300001),14065,AVENUE O,13601 S (SENIOR BLDG),NB,MB,30,,CHICAGO,13601 S Avenue O (Senior Bldg)
POINT (-87.62667300099997 41.844381999999996),2338,STATE,27TH STREET,NB,MT,29,,CHICAGO,State & 27th Street
POINT (-87.69924404900001 42.030587622999974),14364,DODGE,MONROE,NB,NS,"93,206",,EVANSTON,Dodge & Monroe
POINT (-87.78152399999999 41.78675099999998),4663,NARRAGANSETT,58TH STREET,NB,NS,55N,,CHICAGO,Narragansett & 58th Street
POINT (-87.55096605099999 41.72086968999997),7001,COMMERCIAL,96TH STREET,NB,NS,71,,CHICAGO,Commercial & 96th Street
POINT (-87.70079399899998 41.69339500000001),9967,KEDZIE,110TH STREET,NB,MT,52A,,CHICAGO,Kedzie & 110th Street
POINT (-87.71099775099998 41.88348534900001),14089,HOMAN,MAYPOLE,NB,NS,82,,CHICAGO,Homan & Maypole
POINT (-87.53518555699998 41.704503569999986),7355,EWING,105TH STREET,NB,NS,"26,30",,CHICAGO,Ewing & 105th Street
POINT (-87.77423199999998 41.87032200099998),9620,AUSTIN,RAILROAD AVENUE,NB,NS,91,,CHICAGO,Austin & Railroad Ave (Blue Line)
POINT (-87.60768673299998 41.70187685500002),2966,COTTAGE GROVE,106TH STREET,NB,NS,"4,115",,CHICAGO,Cottage Grove & 106th Street
POINT (-87.52569948000001 41.70079425900002),12258,AVENUE B,107TH STREET,NB,NS,100,,CHICAGO,Avenue B & 107th Street
POINT (-87.76622700000001 41.933016001),11609,CENTRAL,GEORGE,NB,NS,85,,CHICAGO,Central & George
POINT (-87.61016713100003 41.89228911399999),758,NAVY PIER,TERMINAL,NB,TERM,29,,CHICAGO,Navy Pier Terminal
POINT (-87.62502400099999 41.90494900099998),1133,LAKE SHORE,SCOTT,NB,MT,151,,CHICAGO,Lake Shore & Scott
POINT (-87.64291886900003 41.94779690500002),1161,LAKE SHORE,BROMPTON,NB,MT,"135,146,151",,CHICAGO,Lake Shore & Brompton
POINT (-87.627542538 41.87684766699999),1113,STATE,VAN BUREN,NB,NS,"2,10,29,130,146,147,148",,CHICAGO,State & Van Buren
POINT (-87.65964820200003 41.97336829599999),14454,BROADWAY,ARGYLE (north leg),NB,FS,36,,CHICAGO,Broadway & Argyle
POINT (-87.660716821 42.003870995),1206,SHERIDAN,NORTH SHORE,NB,FS,"147,155",0,CHICAGO,Sheridan & North Shore
POINT (-87.70385679399999 41.807940255000005),3118,KEDZIE,47TH STREET,NB,NS,"47,52",,CHICAGO,Kedzie & 47th Street
POINT (-87.65659837499999 41.867263105999996),15404,RACINE,ROOSEVELT,NB,FS,60,N60,CHICAGO,Racine & Roosevelt
POINT (-87.62597000099998 41.809080000999984),2317,STATE,47TH STREET,NB,NS,29,,CHICAGO,State & 47th Street
POINT (-87.76495562600002 41.88558182100002),11582,CENTRAL,FULTON,NB,NS,85,,CHICAGO,Central & Fulton
POINT (-87.677164458 41.903421804000004),14975,DAMEN,DIVISION,NB,FS,50,,CHICAGO,Damen & Division
POINT (-87.60597223500002 41.78763131699998),2498,COTTAGE GROVE,59TH STREET,NB,NS,"2,4",N4,CHICAGO,Cottage Grove & 59th Street
POINT (-87.66123266699998 41.85762293800002),13193,LOOMIS,BLUE ISLAND,NB,NS,60,N60,CHICAGO,Loomis & Blue Island
POINT (-87.62403400300002 41.87178683899998),1583,MICHIGAN,8TH STREET,NB,NT,"1,3,4",N4,CHICAGO,Michigan & 8th Street
POINT (-87.78762513499998 41.98280027200002),9703,NAGLE,BRYN MAWR,NB,NS,86,,CHICAGO,Nagle & Bryn Mawr
POINT (-87.630111768 41.85767206899999),6283,CLARK,18TH STREET,NB,NS,24,,CHICAGO,Clark & 18th Street
POINT (-87.787795593 41.97556813099999),9698,NAGLE,FOSTER,NB,NS,86,,CHICAGO,Nagle & Foster
POINT (-87.653560631 41.74678777399998),5047,RACINE,81ST STREET,NB,NS,44,,CHICAGO,Racine & 81st Street
POINT (-87.705938 41.877241000000026),3159,KEDZIE,JACKSON,NB,NS,52,,CHICAGO,Kedzie & Jackson
POINT (-87.62950028799997 41.88993758100003),15399,DEARBORN,HUBBARD,NB,NS,"22,36",N22,CHICAGO,Dearborn & Hubbard
POINT (-87.76629000000003 41.934841000000006),11610,CENTRAL,WELLINGTON,NB,NS,85,,CHICAGO,Central & Wellington
POINT (-87.836528999 41.97712999999999),8563,CUMBERLAND,CATHERINE,NB,NS,81W,,CHICAGO,Cumberland & Catherine
POINT (-87.69752998299998 41.93239667),15218,CALIFORNIA,DIVERSEY,NB,FS,94,,CHICAGO,California & Diversey
POINT (-87.68572361399998 41.859817577),15091,WESTERN,16TH STREET,NB,FT,"18,49,X49",N49,CHICAGO,Western & 16th Street
POINT (-87.83147139300002 41.96657548600001),9714,LAWRENCE,COURTLAND,EB,FS,81W,,NORRIDGE,Lawrence & Courtland
POINT (-87.64704072500001 41.768749015000026),10167,69TH STREET,PEORIA,EB,NS,67,,CHICAGO,69th Street & Peoria
POINT (-87.76168061800001 41.77429632000002),3367,65TH STREET,CENTRAL,EB,NS,165,,BEDFORD PARK,65th Street & Central
POINT (-87.71205799900002 41.92108999999999),11150,KIMBALL,PALMER,SB,NS,82,,CHICAGO,Kimball & Palmer
POINT (-87.66312403699999 41.98557515800002),11475,RIDGE,WAYNE,NWB,NS,84,,CHICAGO,Ridge & Wayne
POINT (-87.743336489 41.79873174199997),4385,ARCHER,CICERO,SWB,FS,"62,62H",,CHICAGO,Archer & Cicero
POINT (-87.65533046399997 41.80854091600003),5159,RACINE,47TH STREET,SB,FS,44,,CHICAGO,Racine & 47th Street
POINT (-87.66018588499998 41.983869613000024),5338,BROADWAY,RIDGE/BRYN MAWR,SB,NS,36,,CHICAGO,Broadway & Bryn Mawr/Ridge
POINT (-87.644362 41.936578999999995),5367,BROADWAY,WELLINGTON,SB,NS,36,,CHICAGO,Broadway & Wellington
POINT (-87.625270511 41.76910793000002),8629,69TH STREET,STATE,EB,NS,169,,CHICAGO,69th Street & State (Red Line)
POINT (-87.68816718300002 41.953924856000015),17493,IRVING PARK,WESTERN,EB,FS,80,,CHICAGO,Irving Park & Western
POINT (-87.69250499999998 41.97765800000002),1491,LINCOLN,BERWYN,NWB,FS,11,,CHICAGO,Lincoln & Berwyn
POINT (-87.68322680199998 41.758827268000005),8302,WESTERN,COLUMBUS,SB,FS,"49,X49",N49,CHICAGO,Western & Columbus
POINT (-87.81630711600002 42.002817897),9927,NORTHWEST HWY,OLIPHANT,SEB,NS,68,,CHICAGO,Northwest Hwy & Oliphant
POINT (-87.78679862799999 41.95645031700002),17209,NARRAGANSETT,BERTEAU,SB,FS,86,,CHICAGO,Narragansett & Berteau
POINT (-87.765620571 41.898617113),11560,CENTRAL,AUGUSTA,SB,NS,85,,CHICAGO,Central & Augusta
POINT (-87.673862999 41.782850999999994),8728,DAMEN,61ST STREET,NB,NS,48,,CHICAGO,Damen & 61st Street
POINT (-87.715556446 41.87347436699997),15170,HARRISON,CENTRAL PARK,EB,FS,7,,CHICAGO,Harrison & Central Park
POINT (-87.63563347899998 41.891507382999976),744,GRAND,FRANKLIN,EB,NS,65,,CHICAGO,Grand & Franklin
POINT (-87.66434190400003 41.954273598999976),5667,IRVING PARK,SOUTHPORT,EB,NS,"9,80",,CHICAGO,Irving Park & Southport
POINT (-87.73447121999999 41.97539629400001),4762,FOSTER,TRIPP,EB,NS,92,,CHICAGO,Foster & Tripp
POINT (-87.689141855 41.96853651599997),3756,LAWRENCE,WESTERN,EB,NS,81,N81,CHICAGO,Lawrence & Western
POINT (-87.69817227300001 41.786275273),15260,59TH STREET,SACRAMENTO,EB,FS,59,,CHICAGO,59th Street & Sacramento
POINT (-87.66133342299997 41.866810805),16103,ROOSEVELT,LOOMIS,EB,FS,12,,CHICAGO,Roosevelt & Loomis
POINT (-87.64510502799999 41.78695303000001),12988,59TH STREET,HALSTED,EB,NS,59,,CHICAGO,59th Street & Halsted
POINT (-87.75213894500001 41.79282341099997),15196,55TH STREET,LARAMIE,EB,FS,"55A,55N",,CHICAGO,55th Street & Laramie
POINT (-87.78061593500001 41.92369199699999),1292,FULLERTON,MELVINA,EB,NS,74,,CHICAGO,Fullerton & Melvina
POINT (-87.649640272 41.955751921),4931,CLARENDON,BITTERSWEET,NB,FS,"135,148",,CHICAGO,Clarendon & Bittersweet
POINT (-87.68573726300002 42.030599026000004),14258,RIDGE,MONROE,NB,NS,"201,206",,EVANSTON,Ridge & Monroe
POINT (-87.55144074499998 41.711806803),6996,COMMERCIAL,101ST STREET,NB,NS,71,,CHICAGO,Commercial & 101st Street
POINT (-87.82456219199997 42.008173613),9913,NORTHWEST HWY,300 SOUTH (private rdwy.),NWB,NS,68,,PARK RIDGE,300 S Northwest Hwy
POINT (-87.62015135000001 41.666449821000015),7560,MICHIGAN,125TH PLACE,SB,NS,34,N34,CHICAGO,Michigan & 125th Place
POINT (-87.72217861799999 41.75279351500001),12867,PULASKI,77TH STREET (south leg),SB,MT,53A,,CHICAGO,Pulaski & 77th Street
POINT (-87.797189 41.92352599999998),671,GRAND,NEWCASTLE (west leg),EB,NS,"65,74",,CHICAGO,Grand & Newcastle
POINT (-87.68592809699999 41.94671242999999),12528,ADDISON,OAKLEY,EB,NS,152,,CHICAGO,Addison & Oakley
POINT (-87.60733105399999 41.73654488599999),9418,87TH STREET,LANGLEY,EB,NS,87,,CHICAGO,87th Street & Langley
POINT (-87.70120406400002 41.70426478000002),9973,KEDZIE,104TH STREET,NB,NS,52A,,CHICAGO,Kedzie & 104th Street
POINT (-87.67690399899999 41.89402100000001),8919,DAMEN,HURON,NB,NS,50,,CHICAGO,Damen & Huron
POINT (-87.62397313899999 41.73260830200002),2273,STATE,89TH STREET,NB,NS,29,,CHICAGO,State & 89th Street
POINT (-87.71603448500002 41.73483984799998),9373,87TH STREET,HAMLIN,EB,FT,87,,EVERGREEN PARK,87th Street & Hamlin
POINT (-87.58860191000002 41.75138897099998),2793,79TH STREET,ANTHONY,EB,NS,79,N79,CHICAGO,79th Street & Anthony
POINT (-87.75324999899999 41.89489200000003),520,CHICAGO,LECLAIRE,EB,NS,66,,CHICAGO,Chicago & Leclaire
POINT (-87.62974199899998 41.76713999999998),6447,WENTWORTH,70TH STREET,NB,NS,24,,CHICAGO,Wentworth & 70th Street
POINT (-87.63377000000003 41.75286799999998),6550,VINCENNES,78TH STREET,SB,NS,24,,CHICAGO,Vincennes & 78th Street
POINT (-87.615982352 41.79841669899997),2149,KING DRIVE,53RD STREET,NB,NT,3,,CHICAGO,King Drive & 53rd Street
POINT (-87.69972299900002 42.00656099999998),11914,CALIFORNIA,MORSE,NB,NS,93,,CHICAGO,California & Morse
POINT (-87.74734592300001 42.029315871999984),10439,SKOKIE BLVD,SEARLE,NB,NT,54A,,SKOKIE,Skokie Blvd & Searle
POINT (-87.75048791299997 42.04092439200002),3563,BRONX,DEMPSTER,NB,FS,"54A,97",,SKOKIE,Bronx & Dempster
POINT (-87.606744999 41.820362999999986),2517,COTTAGE GROVE,41ST STREET (north leg),NB,NS,4,N4,CHICAGO,Cottage Grove & 41st Street
POINT (-87.63746399899998 41.90217200000001),6608,ORLEANS,HILL,SB,NS,37,,CHICAGO,Orleans & Hill
POINT (-87.70202787699998 41.72450122599997),10036,KEDZIE,93RD STREET,SB,NS,52A,,EVERGREEN PARK,Kedzie & 93rd Street
POINT (-87.54720579100001 41.655592292999984),7320,BALTIMORE,132ND STREET,SB,NS,30,,CHICAGO,Baltimore & 132nd Street
POINT (-87.76724899999999 41.95873),11526,CENTRAL,CULLOM,SB,NS,85,,CHICAGO,Central & Cullom
POINT (-87.71532300000001 41.860880001),11190,CENTRAL PARK,15TH STREET,SB,NS,82,,CHICAGO,Central Park & 15th Street
POINT (-87.62439600099998 41.876270999999974),73,MICHIGAN,betw. VAN BUREN & IDA B. WELLS,SB,MB,"1,3,4,7,J14,26,28,126,143,147",N4,CHICAGO,Michigan & Van Buren/Ida B. Wells
POINT (-87.71191900000002 41.91559699999999),11153,KIMBALL,CORTLAND,SB,NS,82,,CHICAGO,Kimball & Cortland
POINT (-87.67379160000002 42.007866587000024),1786,CLARK,MORSE,SB,NS,22,N22,CHICAGO,Clark & Morse
POINT (-87.62093363100001 41.689171182999985),15079,MICHIGAN,113TH STREET,NB,FS,"34,119",N34,CHICAGO,Michigan & 113th Street
POINT (-87.70436649999999 41.82459720899999),17452,KEDZIE,38TH STREET,NB,FS,52,,CHICAGO,Kedzie & 38th Street
POINT (-87.625590848 41.79488542600001),2309,STATE,GARFIELD,NB,FS,29,,CHICAGO,State & Garfield
POINT (-87.64374700000002 41.74325499999998),3674,HALSTED,83RD STREET,NB,NS,8A,,CHICAGO,Halsted & 83rd Street
POINT (-87.675820273 41.854200563000006),15199,DAMEN,PINK LINE STATION,NB,FS,"50, 755",,CHICAGO,Damen Pink Line Station
POINT (-87.678856559 41.96134805999998),8955,DAMEN,MONTROSE,NB,NS,50,,CHICAGO,Damen & Montrose
POINT (-87.71171399999997 41.906338000000005),11252,HOMAN,HIRSCH,NB,NS,82,,CHICAGO,Homan & Hirsch
POINT (-87.64134581899998 41.838370666),14839,WALLACE,31ST STREET,NB,FS,44,,CHICAGO,Wallace & 31st Street
POINT (-87.65344571899999 41.74308541200003),5045,RACINE,83RD STREET,NB,NS,44,,CHICAGO,Racine & 83rd Street
POINT (-87.55098705199998 41.72266241800003),7002,COMMERCIAL,95TH STREET,NB,NS,71,,CHICAGO,Commercial & 95th Street
POINT (-87.63754852300002 41.78723324700002),13055,59TH STREET,NORMAL,WB,NS,59,,CHICAGO,59th Street & Normal
POINT (-87.74578599900002 41.91397718600001),821,GRAND,CICERO,WB,NS,65,,CHICAGO,Grand & Cicero
POINT (-87.70224033599999 41.74987844100002),2679,79TH STREET,KEDZIE,WB,NS,"79,169",,CHICAGO,79th Street & Kedzie
POINT (-87.59287895 41.809760548999975),7138,47TH STREET,LAKE PARK,WB,FS,47,,CHICAGO,47th Street & Lake Park
POINT (-87.648676938 41.92571877400002),17487,HALSTED,LINCOLN/FULLERTON,NB,FS,8,,CHICAGO,Halsted & Lincoln/Fullerton
POINT (-87.67608521400001 41.85774894399998),8884,DAMEN,18TH STREET,SB,NS,50,,CHICAGO,Damen & 18th Street
POINT (-87.65477982099998 41.787031798999976),5172,RACINE,59TH STREET,SB,NS,44,,CHICAGO,Racine & 59th Street
POINT (-87.69982334500003 42.01197422199999),12042,TOUHY,CALIFORNIA,EB,NS,96,,CHICAGO,Touhy & California
POINT (-87.688362633 41.966631758000005),1375,LELAND,WESTERN,EB,FS,"11,49B",N49,CHICAGO,Leland & Western (Brown Line)
POINT (-87.72153300000002 41.902649999999994),1992,DIVISION,HAMLIN,EB,NS,70,,CHICAGO,Division & Hamlin
POINT (-87.651912347 41.881651686),14647,MADISON,MORGAN,EB,FS,20,N20,CHICAGO,Madison & Morgan
POINT (-87.66617692099999 42.01919502099997),1011,HOWARD,SHERIDAN,EB,NS,147,0,CHICAGO,Howard & Sheridan
POINT (-87.72780483399998 41.96817665100002),18106,LAWRENCE,PULASKI,EB,FS,81,N81,CHICAGO,Lawrence & Pulaski
POINT (-87.70822019299999 41.79338131700001),10509,55TH STREET,HOMAN,EB,FS,55,N55,CHICAGO,55th Street & Homan
POINT (-87.63190400000002 41.77987999999999),3429,63RD STREET,YALE,EB,NS,63,N63,CHICAGO,63rd Street & Yale
POINT (-87.7130492 41.96833126299998),3746,LAWRENCE,KIMBALL,EB,FS,81,N81,CHICAGO,Lawrence & Kimball (Brown Line)
POINT (-87.648614329 41.750506977999976),15330,79TH STREET,MORGAN,EB,FS,79,N79,CHICAGO,79th Street & Morgan
POINT (-87.70577393100001 41.87725803699999),30,JACKSON,KEDZIE,EB,FS,126,,CHICAGO,Jackson & Kedzie
POINT (-87.71953908400002 41.83688121),7447,31ST STREET,HAMLIN,EB,NS,"35,82",,CHICAGO,31st Street & Hamlin
POINT (-87.64085565200003 41.82345778199999),15367,PERSHING,WALLACE,EB,FS,39,,CHICAGO,Pershing & Wallace
POINT (-87.66359167000002 41.768490844999974),15974,69TH STREET,ASHLAND,EB,FS,67,,CHICAGO,69th Street & Ashland
POINT (-87.57567600700003 41.722537972),12105,95TH STREET,JEFFERY,WB,FS,100,,CHICAGO,95th Street & Jeffery
POINT (-87.65183300000001 41.881767001000014),459,MADISON,MORGAN,WB,NS,20,N20,CHICAGO,Madison & Morgan
